	235010	262945	289260	306020	312316	312974	323098	325065	325999	327622	328513	328876	329949	330076	331838	332838	336646	341090	344451	BJBC001	BJBC007	BJBC008	BJBC011	BJBC013	BJBC014	BJBC017	BJBC019	BJBC020	BJBC026	BJB030	BJB032	BJB037	BJB038	BJB039	BJB041	BJB042	BJB054	BJB056	BJB058	BJB059	BJB060	BJB061	BJB064	BJB069	BJB070	BJB075	BJB077	BJB082	BJB086	BJB090	BJB092	TCGA-4Z-AA7M	TCGA-4Z-AA7O	TCGA-4Z-AA7S	TCGA-4Z-AA7W	TCGA-4Z-AA7Y	TCGA-4Z-AA80	TCGA-4Z-AA81	TCGA-4Z-AA82	TCGA-4Z-AA86	TCGA-CU-A0YR	TCGA-CU-A3KJ	TCGA-CU-A3QU	TCGA-CU-A5W6	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1A7	TCGA-DK-A1AA	TCGA-DK-A3IM	TCGA-DK-A3IN	TCGA-DK-A3IV	TCGA-DK-A3WW	TCGA-DK-A6B0	TCGA-DK-AA6M	TCGA-DK-AA6Q	TCGA-DK-AA74	TCGA-DK-AA75	TCGA-DK-AA76	TCGA-DK-AA77	TCGA-FD-A3B5	TCGA-FD-A3B6	TCGA-FD-A3SJ	TCGA-FD-A3SL	TCGA-FD-A3SO	TCGA-FD-A3SP	TCGA-FD-A43S	TCGA-FD-A43U	TCGA-FD-A43X	TCGA-FD-A43Y	TCGA-FD-A5BT	TCGA-FD-A5BU	TCGA-FD-A5BX	TCGA-FD-A5C0	TCGA-FD-A5C1	TCGA-FD-A6TB	TCGA-FD-A6TE	TCGA-G2-A2EK	TCGA-G2-A2EL	TCGA-G2-A2EO	TCGA-G2-A2ES	TCGA-G2-A3IB	TCGA-G2-A3IE	TCGA-G2-A3VY	TCGA-G2-AA3B	TCGA-K4-A3WU	TCGA-K4-A54R	TCGA-XF-A8HG	TCGA-XF-A9T0	TCGA-XF-A9T3	TCGA-XF-AAMZ	TCGA-XF-AAN0	TCGA-ZF-A9R0	TCGA-ZF-A9R2	TCGA-ZF-A9R3	TCGA-ZF-A9R4	TCGA-ZF-A9R5	TCGA-ZF-A9R7	TCGA-ZF-A9RE	TCGA-ZF-A9RG	TCGA-ZF-AA4N	TCGA-ZF-AA4U	TCGA-ZF-AA4X	TCGA-ZF-AA52	TCGA-ZF-AA58	TCGA-ZF-AA5H	TCGA-ZF-AA5N	TCGA-ZF-AA5P
bladder_shape_Elongation	0.772620179843747	0.846559905877336	0.805276388795096	0.804165353048756	0.938762815937662	0.985694251517748	0.8155674846508679	0.789454465662757	0.95149093849449	0.800107920169512	0.8118416424427758	0.815466031906646	0.7552953238703699	0.8583246806051171	0.8210343862603899	0.7290940301999591	0.791495496783718	0.7930962901389541	0.364980063981656	0.639013031972135	0.7413564283773671	0.802363002644379	0.906717489564254	0.7481263296937679	0.9234816909290392	0.840682414335485	0.8509754474501899	0.8175869049415541	0.870943297426782	0.871853131316659	0.911195260125652	0.8386063267938851	0.728070507532705	0.851772792913985	0.8115397182273929	0.7310187204716949	0.6151226784071511	0.847192177934037	0.6855628895674271	0.7571019925215501	0.802434836429162	0.9241002538673052	0.869890813041185	0.843959728627779	0.839124163912285	0.7870216961221509	0.692807984707582	0.930063760114391	0.895958536734644	0.914220188733484	0.8726247498310741	0.108663709809317	0.17862009704284	0.7298651679813941	0.8568885859519091	0.704210720018307	0.6518139330729991	0.8471944495640971	0.8727457554966791	0.8833137305345491	0.5755426351686279	0.8159515790240308	0.815114836507731	0.682452881479718	0.5786440564558321	0.615076060511256	0.8295557934317059	0.787607905145562	0.5941140017931421	0.8629906269006801	0.8501455230902359	0.61230033559301	0.882329801289128	0.938296779695394	0.802118423341389	0.812314371408325	0.670527597352876	0.7152502504638959	0.7495387174359142	0.750371188995467	0.784562200639584	0.863788261007828	0.6607926749192049	0.6752323227609229	0.7133407092551189	0.587570326135462	0.563520968959812	0.70887506896919	0.629016622633705	0.7102812417218242	0.670904451815443	0.88296943804411	0.7337492061924309	0.937807387345817	0.650783003661639	0.8504959152363349	0.692717737314682	0.933763406673025	0.954337745191078	0.6288229389120009	0.6649683053877901	0.7151634115701591	0.8709580718008579	0.8629539925137121	0.246044797261874	0.8040038395714691	0.790350437705866	0.839101091762103	0.759235961166521	0.956223996797323	0.7200141487659579	0.7195214949862749	0.569087192546491	0.705846148138379	0.868396538913327	0.7049770398241719	0.8200342521674201	0.657720664293961	0.969851314807154	0.766818085302341	0.598562342862604	0.92114746006596	0.85112103342896	0.7264885389703549	0.8419644999134159	0.87342111481746	0.804307509869882
bladder_shape_Flatness	0.6484342007975171	0.41876156679906	0.485596970201717	0.269308786301724	0.44259829012339	0.340040192063178	0.602229289778661	0.665156835467057	0.611685854351213	0.443605867999676	0.6743656625793231	0.704410835885277	0.39280864484401	0.653048518964915	0.6685437498703289	0.522917415075901	0.675758408869349	0.6016726426956911	0.271585973907694	0.5934999471834971	0.5622369345026011	0.5964992423056371	0.6970829969830931	0.70768277076003	0.756021474613775	0.551196160029732	0.7012194095290171	0.4614463758557171	0.441153756298106	0.544462368537957	0.6765761514364681	0.372494817712401	0.338123949229636	0.6583445404613211	0.6459182231667271	0.472515050994299	0.508204628764061	0.404222916011826	0.4322192740624409	0.599803664351814	0.703508214040482	0.620859523413911	0.699399475393811	0.642971210968565	0.3673421874092629	0.623299748275832	0.531938712302432	0.7111806344943579	0.725067095951821	0.5699688369649211	0.62330153064029	0.07771478479836201	0.135628718215619	0.61069475102943	0.619021329839896	0.635645373611386	0.5409287679852051	0.594285657937875	0.597683633082104	0.7354669847820992	0.520145084033983	0.37175406299591296	0.6865970239633811	0.346983813122669	0.5078884554377701	0.5613938239419649	0.44887310364824	0.489213526566451	0.452279544443429	0.572726142314355	0.7047276730884069	0.49715444715827	0.80773281673143	0.5709946664438821	0.5049950559246671	0.449986624846198	0.512094714964296	0.4751180585919171	0.64723687642096	0.399261219549437	0.6130831288552161	0.47613825315028	0.6039455456471059	0.43470458851358	0.29591468533265697	0.35673220302091496	0.509540493298435	0.693754473313417	0.596998997425718	0.585183183668515	0.587299706857069	0.632164919546463	0.495033279573396	0.459840048608526	0.586827482903089	0.489703474465857	0.667129084884165	0.500214592012599	0.88130069494749	0.407017404238391	0.6147842944525129	0.43176720853854106	0.41438325294310896	0.5975552508074039	0.159707973048126	0.73000491358275	0.5613875054632739	0.587883301917514	0.609718807342177	0.477073567235312	0.28376198208041103	0.619001145900138	0.547300569353135	0.5107910970973939	0.638932208370674	0.361279716213428	0.582626309481837	0.589578593631544	0.759060819496996	0.634849545692163	0.531556802437065	0.516342490851822	0.7563146740030171	0.3845496199506421	0.616022706658534	0.6955477436833809	0.6216861360181422
bladder_shape_LeastAxisLength	80.83096448378001	41.973835718313396	47.4850216798237	26.617346558744106	36.2592671809262	26.7009521409806	55.6625485820968	58.345465971858594	43.510701372774896	46.627153875381296	78.6867759026148	50.871661016408304	37.5693724172249	68.4546846499542	53.6588703235639	56.8002273007113	76.6446198106201	71.46328706089729	60.9301194151245	78.37754024743641	66.32413981039271	58.9335507357921	65.518930390167	69.04053190311849	65.7852877855584	46.2090678313013	81.6431656719717	47.3020492521305	31.7616121150211	42.6033105642358	59.753110716664295	26.6052108311479	28.1987512146139	63.4259915717318	62.5044022337078	49.745510767006394	82.46462164209929	31.310250892514702	47.55843674184821	93.0312002925153	81.7603470951231	48.6987849902201	75.5515183971397	68.3470680300938	28.996222340193896	60.0097451758848	72.1164186041441	64.3440219551656	65.523836072816	45.98312825618179	79.98390173829449	67.4730525937121	57.1923727627008	57.6458102415465	41.455069109239396	70.3134325915947	37.7363590052289	50.171844674016114	43.7118771934379	52.5637995042448	80.0780842677857	28.3842164069515	72.26184067444679	30.9929242317344	87.290818113912	50.2399002190861	32.512143333751396	53.8182430384622	75.8374172555397	40.4207808907504	44.8513384843267	83.14772650464971	80.2004012626915	43.7891438870446	45.863490070222	40.1512525119444	61.2683403488264	30.0939671158419	60.010862668639405	35.928537227088796	41.473338804757795	42.399095313394106	46.065101152804786	34.159738207957204	28.3910895767263	26.9706874306607	46.5540082231797	74.45688721865541	83.84609518111749	41.155074684225504	53.973387069291704	82.5255616383208	44.080392627043715	31.0867784198583	61.25517588360111	40.8601023946376	78.67588490141421	34.1128299535601	68.5671628645364	40.240866669084	55.696187975951005	39.5017326763841	32.0160383162283	55.7317528651826	52.1185722282778	64.95002908405989	41.5709462014583	49.611790591720506	58.5086963158613	30.198705021212696	20.49627723974769	66.6514628831013	59.175125247564004	41.9963334777141	57.212418125277004	42.761427406829206	42.90424926905021	99.8964769618539	54.3059899296568	53.48012649181721	65.2700384968881	43.7853370120337	54.5343465123412	27.8050910749367	65.07110969332321	49.8137887687953	57.0691169806615
bladder_shape_MajorAxisLength	124.655615611214	100.23325693222999	97.7868985881406	98.83578966830669	81.923649480927	78.5229298306585	92.4275014962401	87.71685542536709	71.13243025527329	105.109416351128	116.68265492885901	72.2187371698715	95.64293686088352	104.823275242175	80.2623169148939	108.62179316109899	113.42014957514	118.77436664016899	224.349286299421	132.059894224732	117.96475069548401	98.799037041518	93.9901427430112	97.5585880506473	87.015104721947	83.83416137878899	116.43027070059	102.50822571617901	71.9966942626653	78.2484025087689	88.31690355889721	71.42437845051958	83.39767496168321	96.3416382663208	96.7682904613978	105.278150743195	162.26656935937598	77.4578819069198	110.033123453392	155.10275415381201	116.21804189825501	78.43768703496859	108.023413021005	106.298799797174	78.93518178430371	96.277505873993	135.572796144122	90.47493538812893	90.3693415942432	80.67656558390371	128.32296698538602	868.213851055206	421.683353755345	94.39381973461307	66.9687248417778	110.617390624764	69.7621595275573	84.4237851004322	73.1354763188458	71.4699647868194	153.953361717351	76.3521350061575	105.24636453755	89.3209511787152	171.870057646167	89.4913660900547	72.4305891119499	110.00971991961501	167.67819413293302	70.57610593330391	63.6435040045607	167.247274926175	99.2907550633268	76.6892345243092	90.81968136548201	89.22765765686441	119.64259454054	63.3399774469316	92.718546879595	89.9875456665535	67.64717026579929	89.0478658937154	76.27360030190759	78.58149904688679	95.943496500723	75.6048576558685	91.3646880580956	107.32455080692199	140.445956429852	70.3285327275199	91.90092628877659	130.544354940681	89.04531159002241	67.6034601899655	104.383618130095	83.4384571994425	117.93202647591801	68.19639110548161	77.8022339680803	98.86768047273658	90.59468252283571	91.488496336002	77.2619020890396	93.26627586299179	326.336695867855	88.9720437158366	74.0503587929921	84.3905421873702	95.96013049180219	63.299891453255704	72.2305260538376	107.67583117504299	108.12180465571998	82.2182174207052	89.54380038403922	118.36099699980801	73.63939556249609	169.437082758612	71.5436609752081	84.2406312719479	122.790336230559	84.7990196193227	72.1053661747725	72.3056001940805	105.63102461966999	71.6180725495544	91.79731326515551
bladder_shape_Maximum2DDiameterColumn	105.942561872062	98.38884780148659	88.13167084680741	92.5532582142795	85.40775967438591	91.191864306651	85.3844834250675	77.2295953659646	74.31085249451729	93.95253910939579	105.17529342099002	78.96511273297	80.9325740773358	96.3278553955067	86.79856265235979	91.7697579628632	114.12913320187	125.112975374482	90.868919620399	107.827576552647	99.29293814098939	98.5150941594627	104.995999866981	92.83064563909441	91.3426212342354	87.4384124195611	117.189568659907	93.43152944254221	74.2334793379444	79.2895497927496	89.91330488098471	70.0536624667119	69.1465834296966	90.36894825323401	84.6477997351378	91.9531774520874	142.12704704145798	73.8403694212017	106.046054264173	141.71171568466002	107.01963884985399	81.6398340272688	111.78053070620001	102.894528973365	76.7124227109083	85.3939726038972	123.573638529918	94.36778115440792	93.159883088946	83.0718230950736	123.17146582367701	607.378069315144	590.818772452373	87.4451622812983	67.5973203538292	89.4990175931759	54.488547346687696	89.4325795218188	72.7735529262387	79.11846617236729	103.66009148191999	73.57524316133791	103.43776553024799	68.7583385875202	178.418357834082	68.73313003248511	80.84028193940259	96.1205501245701	120.32081146463699	66.7714272623913	61.9921875	169.098034140159	106.70795750281499	83.1902844588212	92.2207813872982	84.0546712411799	92.80805787046259	69.6773236621605	88.77719653717391	84.75599518035949	61.2005887709435	87.74404026235908	63.3241763854918	63.569512024549205	75.0702377257033	75.9375	63.4124570828741	102.670055019728	109.174191886346	57.601091087603905	88.78452233497678	143.634728376959	74.9068027487201	76.99267711745	77.3640651833625	84.8510741049512	102.12379767703301	76.91980740736979	85.51315688243541	72.6452406993159	77.9568432011495	73.6167104857279	72.45755761996121	104.210199236927	59.9282135294907	83.69823790626691	66.433414021373	82.4295257344058	98.772602536692	73.38656904526441	57.515758710113495	97.8084863393765	90.5737058125128	85.2912882520839	94.9353449804787	89.3809524465807	80.6726628110019	158.362670322152	82.5794563370992	74.81895466098479	87.8749611041877	87.74034513302591	76.287302367048	81.6149496109628	111.42070795650801	72.9831567597021	85.1250645532606
bladder_shape_Maximum2DDiameterRow	137.061709699601	106.464426322907	109.97559682480801	89.63275904567827	87.4522190970589	83.93328969569001	104.938472777374	97.0260918516252	77.1065690385171	109.632401428561	132.959134642887	67.9131670403191	102.80173884602199	120.79784006373	87.6731336792556	101.923496128765	116.87049023092399	129.380749929427	76.41375864029159	147.411055270503	129.338098768329	104.84124265690599	100.99406740116301	106.76587873553301	98.77460181127769	78.0035047508742	127.00189714430599	112.22952043342899	71.50336456119442	86.8765169857881	95.1434320210008	81.0978518350864	96.0	103.429999310654	103.709046887193	105.446794984764	173.55584646554402	88.91402613218271	113.397121773714	173.91283910638302	130.023984012179	81.9771309573591	105.035330215995	117.037536774358	88.2440538335026	110.870441707163	141.23419522748898	105.903227376208	102.65363088576599	87.16904385463141	137.78808988038202	135.961866000013	607.520737140626	88.7778922335462	73.83619340707291	115.352630838133	80.4757998524054	85.90121961870008	84.435478507106	78.4158278234538	176.508786120575	78.2125072418887	116.98234646631799	97.5827836567315	183.458840007733	98.94416359627093	68.6670426291321	118.143599726138	169.761788993994	78.0522606116317	80.9150080355346	184.518655715676	112.749370476319	77.7550564297459	83.0943046628782	99.7191534994235	130.268861419367	52.900913443339796	93.6270026488085	96.1691737448371	80.61064802361079	95.8767022848389	83.4694938746125	91.7244746278661	108.37511214412201	50.7815504798802	102.127482091093	115.58486482742	161.027131870068	74.2135809613523	79.83525144732259	135.920823555035	91.41349610744551	72.1327245003796	115.848838593544	83.2730781940382	124.173021677619	74.68581634205141	78.79807715224159	104.41595411771401	92.03488679734899	100.205350543352	80.05262551323659	84.434151719328	723.82463781702	102.98724034285699	86.09430022297519	91.2309866758005	85.9469231561323	67.86621036838311	77.4007256407323	103.61919936267799	110.227421486604	71.9643560292224	105.05253522047899	118.96930545653	66.5120385529108	189.136155590523	78.7952205834769	93.399867003385	129.074413039775	95.72703017769129	73.9108023340307	55.1594280245907	106.098576629468	81.7780098599419	101.82820219825199
bladder_shape_Maximum2DDiameterSlice	132.359205360921	106.966577746896	105.997156230999	106.33699656746599	93.3609689488669	92.6592988668914	101.72243904420799	93.89738577391701	85.4110883897868	111.43505350059999	120.841244186492	82.0170732727494	104.843989410354	116.770700976081	74.69266865614429	127.39880052897199	135.047536886973	107.468029857285	94.82516034869779	122.305929515693	130.10134210956699	109.29648733002199	109.58830768944999	96.31670581843728	99.4612256127514	92.26913420732392	120.629468720786	113.931756616583	86.03231174656159	85.8483562760778	103.35457948237699	74.7836413768287	96.10541087784807	106.605003310643	106.11138016254401	117.10593029156401	117.099822191982	88.3778509087543	82.408975590117	139.27782063338998	123.651163349501	92.1890042250159	128.768161122413	117.856183838479	80.336888387991	104.778795313105	111.458639037278	107.124211328872	103.543705521161	93.87643203862221	132.22406829763	83.5492937269586	87.53666477280892	111.59133553863998	74.80417792443059	118.673315433875	81.5259491924717	88.284706790729	80.8754283062355	79.6884512810867	172.152306478817	80.1377780860095	112.105578115147	98.7919417691414	121.283395460909	83.8936646753272	86.2142269143661	117.819545545296	159.710644669515	79.0646485277754	80.23932184497579	131.580633164201	115.919774113457	87.83469680562641	106.960296484052	96.04488459219759	132.06292925325002	73.19113184242471	94.07820155494308	102.54230382883101	77.89442348072929	97.71246881795591	81.1850094562869	89.74103463110609	104.54384985284	84.6703813994488	101.956311761738	116.865514490686	127.30037791535801	77.4510635440343	99.7703388483572	147.282293175577	93.6809259974313	76.968304836087	116.457872919163	95.7782415069994	125.79089317320299	82.5120185862523	179.494206497078	106.26036584820999	96.991984597293	95.9878562444635	81.688271084731	110.90328064891199	88.8725096712413	94.7416165178202	84.7814307880548	96.30748385685499	114.37951352745199	74.5414064792665	74.8929213027165	123.296086916123	87.70347400927679	91.4064140349028	108.44470437162902	121.18707873304	83.19435848830871	140.40129776488	84.940218411923	95.1779275390308	119.461785371149	96.18069872194022	83.81462678195051	80.1873295009879	120.018428738452	79.6542064156142	104.411037771003
bladder_shape_Maximum3DDiameter	141.70298385655198	113.193037111444	112.94406799572201	106.685270244805	93.40915652692352	93.19734795853321	105.12629152790501	98.5214872983181	86.1988597573188	112.72197752398998	134.26665440407498	82.9440407606543	105.094388498754	121.02630335644399	93.71959142253158	127.62991774870399	135.817104101809	132.090548770506	594.589947653919	148.615323604106	130.412202811824	110.298859188397	109.956247517775	107.067352486663	100.88794250802499	95.73687917143141	137.57710451052	120.309690607017	89.2236481165559	90.632345739179	104.05402080321699	83.13187970825709	96.10541087784807	107.54535108465299	108.878982418555	119.524329407146	176.11493285011503	89.0441699342774	116.624836716124	175.897789199298	132.161257104081	92.73955466789779	129.788003258837	123.93980972068701	91.53509593791121	112.708162452189	147.916234480551	108.1595894792	105.239469770033	93.90260689752657	151.465757342037	659.1316548668959	616.108624319421	111.84361606438601	79.3321935901444	124.729220991751	82.081503661983	100.46956527004299	84.43865508478291	80.9419466837085	177.416502029584	85.19606294087191	122.12413488450599	98.90272036057208	186.01182539752705	104.466476100739	88.43395718100109	119.092023898538	174.63028616744495	79.52210090569041	80.9626906618433	186.181542092887	116.660662607165	92.89870373597259	109.014633053912	102.17533725805299	134.072349602689	77.1421033895616	109.64478334889	103.18050404446501	80.79629478626141	101.125498540567	85.6130977346153	91.77742698326321	109.597274997694	84.6703813994488	102.283456062375	126.70689251946199	163.202155710235	82.922183296366	102.595892361812	148.717504667265	95.80965801629459	78.6208911301235	116.578772522228	96.8580910772503	130.319770356046	83.4446652404782	732.794130400093	107.134516477646	98.43352951391694	103.29562043223301	83.8109036947163	113.097109227967	726.7610407409419	106.161940651878	87.4131986101628	96.5677989703277	114.39699783987601	77.0628410635004	77.71943647681971	130.046533325876	122.36315949255399	92.4953361411685	110.66030510078998	126.123016870938	83.4558227187176	189.45504187174598	87.3286863808773	95.9177758633013	130.980709606654	96.3951852442914	84.3513873933072	83.21980026562191	120.6365074875	86.7763795953595	105.824050706031
bladder_shape_MeshVolume	684435.98961544	242156.666994095	245896.85054461198	103322.36187807699	157513.002954483	100192.099914551	268123.948044777	254601.736863454	139013.57144594198	287832.605552673	623787.194490433	151638.744187355	169275.028123856	446431.565580368	199648.141860962	335118.043885231	541041.492652893	553715.72765708	121701.48597109	599724.3215671721	488494.890092838	319113.739032134	368091.813685714	349344.861712611	322204.573968142	184152.97173395896	666627.933214566	285990.426397138	88054.05616374631	161719.767420245	302325.17576802697	77583.3658854167	97291.9921875	358389.923200944	334549.308268229	281596.264288408	936395.913628318	112776.029799134	262522.653401693	1194910.13802055	629041.844738376	182017.1484375	525551.974719086	453991.071421708	98649.2579266984	310427.68206276896	621335.722128039	321214.948721648	329341.404112325	191036.474415215	788336.787399401	159942.205785309	127232.06019655599	259817.774089256	108063.05039272801	435084.34405686	81662.8159541387	210586.52327861602	144569.881141702	167833.554084745	727275.563743114	91998.16259765619	466304.397010803	108441.381397842	976342.803566879	172441.29371643098	99394.9656251307	359877.868652344	797975.518763224	118871.808847015	102574.00864362699	848118.8097112459	481174.441323458	165767.690106475	199437.65788555105	178114.78444921802	417140.692050162	54342.5295777232	273608.627319336	137515.96505735698	105450.690371286	182396.718933105	127082.791597797	99440.2742028236	89054.5342526436	57395.393371582	146463.038372199	433028.07595253	721802.986381615	95380.5010593273	216013.098983765	780141.6735973359	179344.036455973	88917.51408576971	308673.434035778	165055.928385258	533375.417858527	100202.578658959	218657.366434733	166732.840674643	204383.122835589	161262.055634274	113008.880615234	285482.139587402	105226.109052551	290549.207617788	126883.20636749301	210976.443108877	284610.665921529	77890.96355438231	50890.9249305725	372230.64136505104	282829.598714148	137059.902414196	261584.949493408	273559.02382451104	129856.149558994	1325014.0508016	189688.52532375802	200180.59412638305	412345.523132324	190365.13214111305	169613.061269124	67333.8331604004	427240.161663294	151204.286033946	263642.368146363
bladder_shape_MinorAxisLength	96.31144415206907	84.8534565543277	78.74548056653009	79.4803176924664	76.90687587860509	77.39960054641159	75.38086490785291	69.24846322945059	67.6818628209838	84.098876506932	94.72783822202892	58.8919270292241	72.23866297225429	89.9724042422223	65.8981221080569	79.1955009433723	89.77153763325899	94.1995095459219	81.8830168678018	84.3879934104652	87.4539262500308	79.27269201900559	85.2225062717291	72.98614840843709	80.35685604499109	70.477905191711	99.0793017061817	83.80938299434071	62.705038304953604	68.22111474779649	80.4739439118415	59.896935655926505	60.71938753640021	82.06118630001299	78.5313111743893	76.96029904991691	99.8138467602789	65.6217116708808	75.4346260628369	117.42860421543101	93.2574054407435	72.48428650177871	93.9685745803257	89.7119062302812	66.236418418018	75.7724859713603	93.92591567778072	84.14745860318979	80.9671830604514	73.7561450144857	111.977796963204	94.3433379634923	75.3211215691299	68.8947610970088	57.3847359326735	77.8979522984113	45.4719475813231	71.5233621482783	63.8286765335005	63.130401217018296	88.6067234958732	62.299645120130215	85.787873223058	60.9573405084235	99.4515873396755	55.04399690444139	60.0852148194895	86.6445250515377	99.6199629297641	60.90651790359071	54.10624000325279	102.40556256431299	87.60719218487259	71.9572617914642	72.84813962524771	72.480908641773	80.2236614583323	45.3039347332953	69.4961407106533	67.5240616365956	53.073412770776216	76.91850122679071	50.401036369215795	53.06076812746471	68.4404018422418	44.4231708702839	51.485917543209	76.07969835534429	88.34284117606572	49.953037554176795	61.6567405731031	115.266675721804	65.33692669433661	63.3990243762885	67.9310845397729	70.9640670217476	81.693606537333	63.6792944814605	74.2496085359265	62.1702653982788	60.2425925143549	65.4292251590792	67.2918772671366	80.484505122854	80.293446173916	71.53386476205308	58.525733484317705	70.8121960838181	72.8563819076083	60.5288752022689	52.00700073157121	77.4750750209565	61.5307342645837	58.0334120732085	77.7595263346455	83.4417852955626	60.386826670152296	111.442270628025	69.3867136629229	64.5972395766156	73.4976713350504	78.1124015384227	61.37039377444589	52.52918984437221	88.937572819242	62.5527367673096	73.8332684450427
