feature_name	t.val	p.val	adj.p.val
Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256	-8.48364627718835	7.64309967287788e-12	2.62478142990113e-09
Median_plasm_Texture_Correlation_Hematoxylin_3_00_256	-8.54992246185467	8.41276099327284e-12	2.62478142990113e-09
Mean_plasm_Intensity_MaxIntensity_Hematoxylin	8.16982417959427	2.67877512289777e-11	5.57185225562736e-09
Median_plasm_Intensity_MaxIntensity_Hematoxylin	7.76472758997268	1.15030792669541e-10	1.79448036564485e-08
Median_nuclei_AreaShape_Area	-7.85164255736243	3.04838394723131e-10	3.80438316614467e-08
Mean_nuclei_AreaShape_Area	-7.6244530909927	1.05686668078253e-09	1.03843073763123e-07
Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256	-7.67164295438449	1.16490627618888e-09	1.03843073763123e-07
Mean_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256	-6.80701945288554	2.74376430164156e-09	2.14013615528042e-07
bladder_glcm_Correlation	-6.95552196120968	4.92057082007465e-09	3.41159576858509e-07
Median_nuclei_Intensity_MassDisplacement_Hematoxylin	-6.73603721561522	6.33744382233186e-09	3.95456494513508e-07
StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	-6.98476247313814	8.2341542698403e-09	4.67101114943668e-07
Mean_nuclei_Intensity_MaxIntensity_Hematoxylin	6.8178868275112	1.2562719184855e-08	6.03010520873038e-07
Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256	-7.15540202090312	1.2363258529664e-08	6.03010520873038e-07
bladder_glcm_Imc2	-6.62740882003137	2.69959883065256e-08	1.20324976451943e-06
StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256	-6.57299400924725	3.12823121570619e-08	1.30134418573378e-06
bladder_firstorder_RootMeanSquared	-5.78508284453111	1.04024790704039e-07	3.97250993253052e-06
Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin	-6.51754680471039	1.08225430854197e-07	3.97250993253052e-06
StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256	-6.32375120111754	1.17468452537677e-07	4.07223968797279e-06
Mean_plasm_Parent_nuclei	-6.5320448582974	1.59287437292141e-07	4.73586073804358e-06
Median_plasm_Parent_nuclei	-6.5320448582974	1.59287437292141e-07	4.73586073804358e-06
StDev_plasm_Parent_nuclei	-6.53189366422245	1.59379928684159e-07	4.73586073804358e-06
