feature_name	t.val	p.val	adj.p.val
Mean_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	-8.7384720438179	1.21595208336322e-13	1.48954130211994e-10
Median_plasm_Texture_Correlation_Hematoxylin_3_03_256	-9.08739215360208	9.72907656780009e-13	5.95905939777756e-10
Mean_plasm_Texture_Correlation_Hematoxylin_3_03_256	-8.85404421747235	2.05050995053541e-12	8.3729156313529e-10
Mean_nuclei_Intensity_MassDisplacement_Hematoxylin	-8.30407899182132	3.90713880300662e-12	1.19656125842078e-09
Mean_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_02_256	-8.24196710342346	5.00346968682706e-12	1.22585007327263e-09
Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256	-8.48364627718835	7.64309967287788e-12	1.47223317382275e-09
Median_plasm_Texture_Correlation_Hematoxylin_3_00_256	-8.54992246185467	8.41276099327284e-12	1.47223317382275e-09
Mean_plasm_Intensity_MassDisplacement_Hematoxylin	-7.73321408280346	2.93164901909326e-11	3.99030005376583e-09
Mean_plasm_Intensity_MaxIntensity_Hematoxylin	8.16982417959428	2.67877512289769e-11	3.99030005376583e-09
Median_plasm_Intensity_MaxIntensity_Hematoxylin	7.76472758997268	1.15030792669541e-10	1.40912721020188e-08
Mean_nuclei_Texture_Correlation_Hematoxylin_3_03_256	-8.25490240045188	1.5702778365036e-10	1.74871849974264e-08
Mean_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_03_256	-7.32127127230341	2.15922543586176e-10	1.91616364258288e-08
StDev_nuclei_Intensity_MassDisplacement_Hematoxylin	-7.62911868580098	1.99850956520685e-10	1.91616364258288e-08
StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_02_256	-7.74779587482954	2.18990130580901e-10	1.91616364258288e-08
Median_nuclei_AreaShape_Area	-7.85164255736243	3.04838394723131e-10	2.48951355690557e-08
Median_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	-7.09563304373252	5.26554050692453e-10	4.0314294506141e-08
Median_nuclei_Texture_Correlation_Hematoxylin_3_03_256	-8.01308582698054	6.35354735511643e-10	4.57829147648096e-08
Median_nuclei_AreaShape_BoundingBoxArea	-7.49729555200855	6.9626353607977e-10	4.73846017609844e-08
Median_plasm_Texture_Correlation_Hematoxylin_3_02_256	-7.56622040478363	8.27265841570851e-10	5.33368766275944e-08
Mean_nuclei_AreaShape_Area	-7.6244530909927	1.05686668078253e-09	6.47330841979303e-08
Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256	-7.67164295438449	1.16490627618888e-09	6.7952866111018e-08
StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_3of4	-7.22896943236587	1.31377320153755e-09	7.31532805401592e-08
Median_nuclei_AreaShape_MinorAxisLength	-7.47689723020533	1.5988326880348e-09	8.51552192540275e-08
Median_nuclei_AreaShape_MinFeretDiameter	-7.41633883678299	2.1290299260493e-09	1.08669235808766e-07
Mean_nuclei_AreaShape_MinorAxisLength	-7.46685902514801	2.37356577608903e-09	1.09951496740202e-07
Mean_plasm_Texture_Correlation_Hematoxylin_3_01_256	-7.10708372171327	2.48921876932399e-09	1.09951496740202e-07
Mean_plasm_Texture_Correlation_Hematoxylin_3_02_256	-7.32293445029695	2.51317706834747e-09	1.09951496740202e-07
Median_plasm_Texture_Correlation_Hematoxylin_3_01_256	-7.13148216751761	2.425478737734e-09	1.09951496740202e-07
Mean_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256	-6.80701945288554	2.74376430164156e-09	1.15900388603825e-07
Median_nuclei_AreaShape_MedianRadius	-7.26162809571662	3.63631434970595e-09	1.48482835946326e-07
bladder_glcm_Correlation	-6.95552196120968	4.92057082007465e-09	1.77894882039221e-07
Mean_nuclei_AreaShape_MinFeretDiameter	-7.28965997723512	4.86166912992508e-09	1.77894882039221e-07
Median_nuclei_AreaShape_EquivalentDiameter	-7.37415368769841	4.71090784471169e-09	1.77894882039221e-07
Median_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_02_256	-6.72939990913517	4.93749060353756e-09	1.77894882039221e-07
Median_nuclei_Intensity_MassDisplacement_Hematoxylin	-6.73603721561522	6.33744382233186e-09	2.21810533781615e-07
Mean_nuclei_AreaShape_MedianRadius	-7.21613877754392	6.74622844148474e-09	2.26037919724847e-07
StDev_nuclei_AreaShape_MedianRadius	-7.16527479034708	6.82726777944435e-09	2.26037919724847e-07
Mean_nuclei_AreaShape_EquivalentDiameter	-7.2562163497823	7.55166284072612e-09	2.36417147302824e-07
Mean_nuclei_AreaShape_MeanRadius	-7.16403387354274	7.44442819211818e-09	2.36417147302824e-07
Mean_nuclei_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	-6.74935505417239	7.71974358539834e-09	2.36417147302824e-07
StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	-6.98476247313814	8.2341542698403e-09	2.46020462940351e-07
Mean_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_01_256	-6.54645895837911	1.05793054175121e-08	3.08563074677437e-07
StDev_plasm_Texture_SumVariance_Hematoxylin_3_01_256	-6.79372751881706	1.11550166466955e-08	3.17788264934929e-07
Mean_nuclei_AreaShape_MaximumRadius	-7.01263823381663	1.30371388441863e-08	3.40680692624185e-07
Mean_nuclei_Intensity_MaxIntensity_Hematoxylin	6.8178868275112	1.2562719184855e-08	3.40680692624185e-07
Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256	-7.15540202090312	1.2363258529664e-08	3.40680692624185e-07
StDev_plasm_Texture_SumVariance_Hematoxylin_3_03_256	-6.75140052361025	1.30710143292545e-08	3.40680692624185e-07
StDev_nuclei_AreaShape_MeanRadius	-7.02186131246191	1.53308456238528e-08	3.91255956025411e-07
Mean_nuclei_Texture_Correlation_Hematoxylin_3_01_256	-6.84807035595439	1.74623783384383e-08	4.36559458460959e-07
Median_nuclei_AreaShape_MeanRadius	-6.86345548712366	1.84812828598398e-08	4.52791430066074e-07
Median_nuclei_Texture_Correlation_Hematoxylin_3_01_256	-6.89171782903319	2.1156868882647e-08	5.08179693749855e-07
bladder_glcm_Imc2	-6.62740882003137	2.69959883065256e-08	6.35963186067188e-07
Median_nuclei_AreaShape_MaximumRadius	-6.7832648186284	2.75199958418675e-08	6.36075375590333e-07
StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256	-6.57299400924725	3.12823121570619e-08	7.0964504430372e-07
Mean_nuclei_Texture_InverseDifferenceMoment_Hematoxylin_3_02_256	-6.45149702169283	3.76384453192933e-08	8.38310827566078e-07
Mean_plasm_Texture_SumVariance_Hematoxylin_3_01_256	-6.14517451816088	5.38090101809205e-08	1.17707209770764e-06
StDev_nuclei_Texture_SumVariance_Hematoxylin_3_03_256	-6.48092927233973	5.66024171443986e-08	1.21645545617348e-06
Mean_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4	-6.2073309279757	5.93102012021066e-08	1.25267235297553e-06
StDev_plasm_Intensity_MassDisplacement_Hematoxylin	-6.32942882346844	6.13377749398082e-08	1.27353854747907e-06
StDev_nuclei_Texture_SumVariance_Hematoxylin_3_01_256	-6.45972046462947	6.68730592217766e-08	1.36532495911127e-06
Median_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_03_256	-6.01060543886785	7.2078438277421e-08	1.44747683425968e-06
Mean_plasm_Texture_SumVariance_Hematoxylin_3_03_256	-6.06507284144303	8.58407654253934e-08	1.69604738138882e-06
Mean_plasm_Texture_DifferenceVariance_Hematoxylin_3_02_256	-6.12120428204782	8.93159929230177e-08	1.70623922591693e-06
StDev_nuclei_AreaShape_MaximumRadius	-6.62608688245546	9.05351425996738e-08	1.70623922591693e-06
StDev_nuclei_Texture_InverseDifferenceMoment_Hematoxylin_3_02_256	-6.25543368620816	8.99446006400956e-08	1.70623922591693e-06
StDev_plasm_Texture_SumVariance_Hematoxylin_3_02_256	-6.27001315445946	9.62019667775196e-08	1.78556680761305e-06
Mean_nuclei_AreaShape_BoundingBoxArea	-6.41766410742364	1.01297553319143e-07	1.85208213158135e-06
bladder_firstorder_RootMeanSquared	-5.78508284453111	1.04024790704039e-07	1.87397600900659e-06
Mean_plasm_Texture_SumVariance_Hematoxylin_3_00_256	-6.00865841458977	1.05788274073209e-07	1.87812515564755e-06
Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin	-6.51754680471039	1.08225430854197e-07	1.89394503994844e-06
StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256	-6.32375120111754	1.17468452537677e-07	2.02674442758668e-06
StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_01_256	-6.21186924352332	1.21174227674049e-07	2.06164484584319e-06
StDev_plasm_Intensity_MaxIntensity_Hematoxylin	-6.08347476591247	1.2660024167249e-07	2.12445611025753e-06
Median_plasm_Intensity_MassDisplacement_Hematoxylin	-5.95090334759268	1.49016745293458e-07	2.4668312565471e-06
Mean_plasm_Parent_nuclei	-6.5320448582974	1.59287437292141e-07	2.50308221330891e-06
Median_nuclei_AreaShape_MaxFeretDiameter	-6.34763696761974	1.5517337873247e-07	2.50308221330891e-06
Median_plasm_Parent_nuclei	-6.5320448582974	1.59287437292141e-07	2.50308221330891e-06
StDev_plasm_Parent_nuclei	-6.53189366422245	1.59379928684159e-07	2.50308221330891e-06
Median_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4	-5.81578303868612	1.75063697933983e-07	2.68066287461412e-06
Median_nuclei_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	-5.98301768940106	1.73292644279711e-07	2.68066287461412e-06
Mean_nuclei_Texture_SumVariance_Hematoxylin_3_01_256	-5.91184794821097	1.92670218400663e-07	2.91383972272607e-06
Mean_plasm_Texture_SumVariance_Hematoxylin_3_02_256	-5.82085005258687	2.44633894040897e-07	3.65459170975731e-06
StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_03_256	-5.99858881310852	2.68075232240025e-07	3.95653204209676e-06
Mean_nuclei_Texture_SumVariance_Hematoxylin_3_03_256	-5.84462254021141	2.83768055134508e-07	4.13828413737824e-06
Mean_nuclei_Texture_SumVariance_Hematoxylin_3_00_256	-5.80211108850828	3.23006033783898e-07	4.65508695747382e-06
Median_nuclei_AreaShape_MajorAxisLength	-6.17450690646483	3.34818983626591e-07	4.7692238946811e-06
StDev_nuclei_Intensity_MaxIntensity_Hematoxylin	-5.84159079236119	3.53974071515966e-07	4.98411767364434e-06
Mean_nuclei_Intensity_IntegratedIntensity_Hematoxylin	-6.17897040809071	4.0673444620032e-07	5.53610773994881e-06
StDev_nuclei_AreaShape_Area	-6.19007252478055	4.0525252413087e-07	5.53610773994881e-06
StDev_nuclei_Texture_SumVariance_Hematoxylin_3_02_256	-5.99098721882646	4.0439830142371e-07	5.53610773994881e-06
Median_nuclei_AreaShape_Perimeter	-5.90361993569568	4.27945148496425e-07	5.76080007591341e-06
StDev_plasm_Intensity_LowerQuartileIntensity_Hematoxylin	-5.93270537087037	4.96836476307657e-07	6.61548568996608e-06
bladder_firstorder_90Percentile	-5.77336467190156	6.38033087070775e-07	8.33822752979975e-06
Median_plasm_Texture_SumVariance_Hematoxylin_3_00_256	-5.42700113197968	6.39831336980553e-07	8.33822752979975e-06
Mean_nuclei_AreaShape_MaxFeretDiameter	-5.98160785896918	6.58053676797654e-07	8.48542899028553e-06
Mean_nuclei_Texture_SumVariance_Hematoxylin_3_02_256	-5.59935554685146	7.65325711136306e-07	9.76587495981224e-06
StDev_nuclei_AreaShape_MinorAxisLength	-6.06533018321783	7.76327895201857e-07	9.80414094455953e-06
bladder_glcm_Imc1	5.48979333686572	8.14423418582968e-07	1.01802927322871e-05
StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4	-5.81321342240036	8.45704280221776e-07	1.04645226593099e-05
Mean_nuclei_Texture_Correlation_Hematoxylin_3_02_256	-6.00144543773213	8.88511544125781e-07	1.0567248947127e-05
Mean_plasm_Texture_AngularSecondMoment_Hematoxylin_3_02_256	-5.37819400825535	8.81611003725129e-07	1.0567248947127e-05
StDev_plasm_Texture_Variance_Hematoxylin_3_00_256	-5.70756599269817	8.73178267538122e-07	1.0567248947127e-05
StDev_plasm_Texture_Variance_Hematoxylin_3_01_256	-5.70371976765371	8.66312526986323e-07	1.0567248947127e-05
Median_plasm_Texture_SumVariance_Hematoxylin_3_03_256	-5.34297639146741	9.83464479426629e-07	1.15840768009387e-05
StDev_plasm_Texture_Variance_Hematoxylin_3_02_256	-5.65206005845317	1.0266855330228e-06	1.1977997885266e-05
Mean_nuclei_AreaShape_MajorAxisLength	-5.86427491702289	1.07965793470293e-06	1.22461200926953e-05
Median_plasm_Texture_SumVariance_Hematoxylin_3_01_256	-5.30115516773479	1.07307944259461e-06	1.22461200926953e-05
Median_plasm_Texture_SumVariance_Hematoxylin_3_02_256	-5.33171852566192	1.06933095306608e-06	1.22461200926953e-05
StDev_plasm_Texture_Variance_Hematoxylin_3_03_256	-5.63429178661203	1.09396101797596e-06	1.22945160277115e-05
bladder_glszm_SizeZoneNonUniformityNormalized	-5.55759550331222	1.18228910507655e-06	1.31664013974434e-05
Median_nuclei_Texture_Correlation_Hematoxylin_3_02_256	-5.92268834305084	1.20601423033744e-06	1.33096165059762e-05
Mean_nuclei_RadialDistribution_RadialCV_Hematoxylin_3of4	-5.41100156402066	1.25191687987795e-06	1.36928408736651e-05
Mean_plasm_Texture_DifferenceVariance_Hematoxylin_3_03_256	-5.36784918372893	1.60144429683246e-06	1.73607899435377e-05
StDev_nuclei_Texture_AngularSecondMoment_Hematoxylin_3_02_256	-5.01730762669476	1.85273316157119e-06	1.99087554642518e-05
StDev_nuclei_Texture_Variance_Hematoxylin_3_00_256	-5.52230828640489	2.18627479703188e-06	2.32885793596875e-05
StDev_nuclei_AreaShape_MinFeretDiameter	-5.69335936173224	2.29122418786054e-06	2.39893130780271e-05
StDev_nuclei_Texture_Variance_Hematoxylin_3_01_256	-5.50354936503759	2.28951401553881e-06	2.39893130780271e-05
