X_features,Y_features,association,p-values,q-values
bladder_firstorder_10Percentile,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.0958709127099469,0.2836302933908166,0.6393284600680469
bladder_firstorder_10Percentile,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.1286592924252076,0.1494210693433063,0.4794258909410898
bladder_firstorder_90Percentile,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.4523179740037258,9.36790260724711e-08,7.674474059013979e-05
bladder_firstorder_90Percentile,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.4754725941560774,1.6150363253702427e-08,2.2677220266486545e-05
bladder_firstorder_Mean,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.3977549681289838,3.644590347668352e-06,0.000683962770091
bladder_firstorder_Mean,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.4322975253093363,3.869592351108378e-07,0.0001821487670245
bladder_firstorder_Median,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.3563916739597867,3.914083810711081e-05,0.0032376693269182
bladder_firstorder_Median,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.3995152482546626,3.270392756249592e-06,0.0006436703500918
bladder_glcm_Correlation,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.3736583708286464,1.5109864879793922e-05,0.0017491310974978
bladder_glcm_Correlation,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.3720589613798275,1.654063844389392e-05,0.0018308159317428
bladder_glcm_Imc1,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,-0.2690464473190851,0.0022235524854011,0.0429779200898767
bladder_glcm_Imc1,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,-0.264974690663667,0.0026073759330431,0.047599834903638
bladder_glcm_Imc2,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.3672314398200224,2.167183578720509e-05,0.0021981433441308
bladder_glcm_Imc2,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.3718070397450318,1.677730448611448e-05,0.0018491931982108
bladder_glrlm_RunEntropy,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.337867922759655,0.0001024098485646,0.0059967828850201
bladder_glrlm_RunEntropy,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.3400824896887888,9.157309553054972e-05,0.0055603305780231
bladder_glszm_LargeAreaLowGrayLevelEmphasis,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,-0.3062078177727784,0.0004632407142028,0.0155877207148823
bladder_glszm_LargeAreaLowGrayLevelEmphasis,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,-0.3600311679790026,3.217077557346534e-05,0.0028199074885383
bladder_gldm_DependenceEntropy,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.4306278121484814,4.3378889983670883e-07,0.0001935016453721
bladder_gldm_DependenceEntropy,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.4401656824146981,2.2400871727576014e-07,0.0001298336238904
cancer_shape_LeastAxisLength,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.4025063273340831,2.7166600205706923e-06,0.0005743410266814
cancer_shape_LeastAxisLength,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.4232166291713535,7.15005048958331e-07,0.000272763776547
cancer_shape_MajorAxisLength,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.3777242688413948,1.1979504120198363e-05,0.0015031719455683
cancer_shape_MajorAxisLength,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.3672080052493437,2.17000517801916e-05,0.0021983881232726
cancer_shape_Maximum2DDiameterColumn,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.3833954349456317,8.620689727794112e-06,0.0012221011061698
cancer_shape_Maximum2DDiameterColumn,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.3874144638170228,6.802276894880534e-06,0.0010386272248097
cancer_shape_Maximum2DDiameterRow,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.4341078458942632,3.416433056937543e-07,0.0001809624380548
cancer_shape_Maximum2DDiameterRow,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.4255835208098987,6.103197024099452e-07,0.0002452794275722
cancer_shape_Maximum2DDiameterSlice,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.41186843832021,1.5023240679279665e-06,0.0004089393309503
cancer_shape_Maximum2DDiameterSlice,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.4142118953880764,1.2916295648744947e-06,0.000386129259394
cancer_shape_Maximum3DDiameter,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.3242465785526809,0.0002000618085998,0.0091937789065286
cancer_shape_Maximum3DDiameter,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.3311129077615298,0.0001433049082781,0.0073719420506354
cancer_shape_MeshVolume,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.476418963254593,1.4988531242392853e-08,2.2677220266486545e-05
cancer_shape_MeshVolume,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.5022731533558304,1.7816146308053426e-09,6.130031237008979e-06
cancer_shape_MinorAxisLength,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256,0.4401891169853767,2.2363968166838006e-07,0.0001298336238904
cancer_shape_MinorAxisLength,StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.4313308492688413,4.134481497447543e-07,0.0001860685541617
