cam,features,mol_subtype
-0.17648043,bladder_shape_Elongation,luminal
-0.17648043,bladder_shape_Flatness,luminal
-0.17648043,bladder_shape_LeastAxisLength,luminal
-0.17648043,bladder_shape_MajorAxisLength,luminal
-0.17648043,bladder_shape_Maximum2DDiameterColumn,luminal
-0.17648043,bladder_shape_Maximum2DDiameterRow,luminal
-0.17648043,bladder_shape_Maximum2DDiameterSlice,luminal
-0.16783243,bladder_shape_Maximum3DDiameter,luminal
-0.1391385,bladder_shape_MeshVolume,luminal
-0.121069014,bladder_shape_MinorAxisLength,luminal
-0.10278316,bladder_shape_Sphericity,luminal
-0.07400344,bladder_shape_SurfaceArea,luminal
-0.066317044,bladder_shape_SurfaceVolumeRatio,luminal
-0.053053353,bladder_shape_VoxelVolume,luminal
-0.040204946,bladder_firstorder_10Percentile,luminal
-0.044202477,bladder_firstorder_90Percentile,luminal
-0.039371185,bladder_firstorder_Energy,luminal
-0.003986611,bladder_firstorder_Entropy,luminal
-0.008977492,bladder_glszm_LowGrayLevelZoneEmphasis,luminal
-0.020977061,bladder_glszm_SizeZoneNonUniformity,luminal
-0.0191396,bladder_glszm_SizeZoneNonUniformityNormalized,luminal
-0.0026418588,bladder_glszm_SmallAreaHighGrayLevelEmphasis,luminal
-0.021764575,bladder_glszm_SmallAreaLowGrayLevelEmphasis,luminal
-0.0019774588,bladder_glszm_ZoneEntropy,luminal
-0.013056981,cancer_glrlm_ShortRunHighGrayLevelEmphasis,luminal
-0.00029514427,cancer_glszm_GrayLevelVariance,luminal
-0.015747964,cancer_glszm_HighGrayLevelZoneEmphasis,luminal
-0.02137336,cancer_glszm_LargeAreaEmphasis,luminal
-0.03471849,cancer_glszm_LargeAreaHighGrayLevelEmphasis,luminal
-0.045003537,cancer_glszm_LargeAreaLowGrayLevelEmphasis,luminal
-0.019023495,cancer_glszm_LowGrayLevelZoneEmphasis,luminal
-0.026049906,cancer_glszm_SizeZoneNonUniformity,luminal
-0.007015713,cancer_glszm_SizeZoneNonUniformityNormalized,luminal
-0.0052327546,Mean_plasm_Intensity_MADIntensity_Hematoxylin,luminal
-0.017274516,Mean_plasm_Intensity_MassDisplacement_Hematoxylin,luminal
-0.012395293,Mean_plasm_Intensity_StdIntensity_Hematoxylin,luminal
-0.03217771,Mean_plasm_Intensity_UpperQuartileIntensity_Hematoxylin,luminal
-0.05196123,Mean_plasm_Location_CenterMassIntensity_X_Hematoxylin,luminal
-0.07174474,Mean_plasm_Location_CenterMassIntensity_Y_Hematoxylin,luminal
-0.024544768,Mean_plasm_Location_Center_X,luminal
-0.04578446,Mean_plasm_Location_Center_Y,luminal
-0.012519727,Mean_plasm_Location_MaxIntensity_X_Hematoxylin,luminal
-0.0036208956,Mean_plasm_Texture_AngularSecondMoment_Hematoxylin_3_01_256,luminal
-0.0020748666,Mean_plasm_Texture_AngularSecondMoment_Hematoxylin_3_02_256,luminal
-0.014415592,Mean_plasm_Texture_AngularSecondMoment_Hematoxylin_3_03_256,luminal
-0.02118824,Mean_plasm_Texture_Contrast_Hematoxylin_3_00_256,luminal
-0.014740057,Mean_plasm_Texture_Contrast_Hematoxylin_3_01_256,luminal
-0.0073033487,Mean_plasm_Texture_Contrast_Hematoxylin_3_02_256,luminal
-0.0007789258,Mean_plasm_Texture_SumAverage_Hematoxylin_3_01_256,luminal
-0.0018369595,Mean_plasm_Texture_SumAverage_Hematoxylin_3_03_256,luminal
-0.03871126,Median_nuclei_AreaShape_Zernike_7_3,luminal
-0.0794303,Median_nuclei_AreaShape_Zernike_7_5,luminal
