Gene	Gene_name	Length
ENSG00000223972	DDX11L1	2540
ENSG00000227232	WASH7P	15166
ENSG00000278267	MIR6859-1	67
ENSG00000243485	MIR1302-2HG	1555
ENSG00000284332	MIR1302-2	137
ENSG00000237613	FAM138A	1527
ENSG00000268020	OR4G4P	839
ENSG00000240361	OR4G11P	6518
ENSG00000186092	OR4F5	6166
ENSG00000238009	AL627309.1	44428
ENSG00000239945	AL627309.3	1554
ENSG00000233750	CICP27	3811
ENSG00000268903	AL627309.6	754
ENSG00000269981	AL627309.7	283
ENSG00000239906	AL627309.2	549
ENSG00000241860	AL627309.5	32388
ENSG00000222623	RNU6-1100P	103
ENSG00000241599	AL627309.4	1079
ENSG00000279928	FO538757.1	1478
ENSG00000279457	WASH9P	10194
ENSG00000273874	MIR6859-2	67
ENSG00000177133	PRDM16-DT	8822
ENSG00000196581	AJAP1	137925
ENSG00000287586	Z98886.1	4781
ENSG00000142611	PRDM16	369453
ENSG00000283572	MIR4251	60
ENSG00000226286	AL008733.1	782
ENSG00000279839	AL512383.1	2676
ENSG00000272235	AL590438.1	3460
ENSG00000287828	AL354743.2	10097
ENSG00000286518	AL354743.1	6113
ENSG00000130762	ARHGEF16	26448
ENSG00000272088	AL512413.1	381
ENSG00000162591	MEGF6	123557
ENSG00000207776	MIR551A	95
ENSG00000238260	AL513320.1	1553
ENSG00000158109	TPRG1L	5112
ENSG00000116213	WRAP73	21994
ENSG00000078900	TP73	83685
ENSG00000227589	AL136528.1	9834
ENSG00000235131	AL136528.2	2098
ENSG00000227372	TP73-AS1	11862
ENSG00000276189	AL136528.3	160
ENSG00000162592	CCDC27	25185
ENSG00000235169	SMIM1	3221
ENSG00000130764	LRRC47	17939
ENSG00000266075	RN7SL574P	296
ENSG00000272153	AL365330.1	530
ENSG00000116198	CEP104	45128
ENSG00000169598	DFFB	28162
ENSG00000198912	C1orf174	11168
ENSG00000236423	LINC01134	16873
ENSG00000233304	LINC01346	14776
ENSG00000226374	LINC01345	4477
ENSG00000284744	AL591163.1	2084
ENSG00000237436	CAMTA1-DT	951
ENSG00000131697	NPHP4	129662
ENSG00000069424	KCNAB2	110266
ENSG00000116254	CHD5	78534
ENSG00000285629	AL031847.2	38327
ENSG00000116251	RPL22	24369
ENSG00000226944	AL031847.1	940
ENSG00000158286	RNF207	15824
ENSG00000116237	ICMT	14779
ENSG00000225077	LINC00337	4752
